INFO:__main__:Rank: -1 - World Size: -1
INFO:__main__:Suppressing subprocess logging. If this is not desired enable debug mode.
2022-11-15 14:48:06.935648: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-11-15 14:48:07.226672: E tensorflow/stream_executor/cuda/cuda_blas.cc:2981] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2022-11-15 14:48:09.786798: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2022-11-15 14:48:09.786998: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2022-11-15 14:48:09.787021: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
INFO:__main__:Loading data.
WARNING:datasets.builder:Found cached dataset sst2 (/home/users1/zhouwi/.cache/huggingface/datasets/sst2/default/2.0.0/9896208a8d85db057ac50c72282bcb8fe755accc671a57dd8059d4e130961ed5)
start
load data

  0%|          | 0/3 [00:00<?, ?it/s]
100%|██████████| 3/3 [00:00<00:00, 246.76it/s]
INFO:__main__:Initializing model.
Some weights of the model checkpoint at bert-base-uncased were not used when initializing BertForSequenceClassification: ['cls.seq_relationship.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at bert-base-uncased and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/mount/arbeitsdaten20/projekte/cik/users/wei/lsc/lib64/python3.10/site-packages/transformers/optimization.py:306: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
INFO:__main__:Updating 109483778 / 109483778 params.
INFO:__main__:Epoch: 0
INFO:__main__:Training...
67349
610
262
done loading dataset and model config
done loading model
warmup_steps 420.93125000000003

  0%|          | 0/2105 [00:00<?, ?it/s]Truncation was not explicitly activated but `max_length` is provided a specific value, please use `truncation=True` to explicitly truncate examples to max length. Defaulting to 'longest_first' truncation strategy. If you encode pairs of sequences (GLUE-style) with the tokenizer you can select this strategy more precisely by providing a specific strategy to `truncation`.
/mount/arbeitsdaten20/projekte/cik/users/wei/lsc/lib64/python3.10/site-packages/transformers/tokenization_utils_base.py:2323: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(

loss:  0.6862, accuracy: 0.5625:   0%|          | 0/2105 [00:03<?, ?it/s]
loss:  0.6862, accuracy: 0.5625:   0%|          | 1/2105 [00:03<2:19:46,  3.99s/it]
loss:  0.7142, accuracy: 0.5156:   0%|          | 1/2105 [00:07<2:19:46,  3.99s/it]
loss:  0.7142, accuracy: 0.5156:   0%|          | 2/2105 [00:07<2:06:44,  3.62s/it]
loss:  0.6958, accuracy: 0.5625:   0%|          | 2/2105 [00:10<2:06:44,  3.62s/it]
loss:  0.6958, accuracy: 0.5625:   0%|          | 3/2105 [00:10<2:01:06,  3.46s/it]
loss:  0.6918, accuracy: 0.5625:   0%|          | 3/2105 [00:13<2:01:06,  3.46s/it]
loss:  0.6918, accuracy: 0.5625:   0%|          | 4/2105 [00:13<1:58:30,  3.38s/it]
loss:  0.6790, accuracy: 0.5812:   0%|          | 4/2105 [00:17<1:58:30,  3.38s/it]
loss:  0.6790, accuracy: 0.5812:   0%|          | 5/2105 [00:17<1:56:58,  3.34s/it]
loss:  0.6791, accuracy: 0.5781:   0%|          | 5/2105 [00:20<1:56:58,  3.34s/it]
loss:  0.6791, accuracy: 0.5781:   0%|          | 6/2105 [00:20<1:56:08,  3.32s/it]
loss:  0.6854, accuracy: 0.5625:   0%|          | 6/2105 [00:23<1:56:08,  3.32s/it]
loss:  0.6854, accuracy: 0.5625:   0%|          | 7/2105 [00:23<1:55:41,  3.31s/it]
loss:  0.6944, accuracy: 0.5430:   0%|          | 7/2105 [00:26<1:55:41,  3.31s/it]
loss:  0.6944, accuracy: 0.5430:   0%|          | 8/2105 [00:26<1:55:21,  3.30s/it]
loss:  0.6892, accuracy: 0.5556:   0%|          | 8/2105 [00:30<1:55:21,  3.30s/it]
loss:  0.6892, accuracy: 0.5556:   0%|          | 9/2105 [00:30<1:55:10,  3.30s/it]
loss:  0.6878, accuracy: 0.5594:   0%|          | 9/2105 [00:33<1:55:10,  3.30s/it]
loss:  0.6878, accuracy: 0.5594:   0%|          | 10/2105 [00:33<1:54:47,  3.29s/it]
loss:  0.6925, accuracy: 0.5540:   0%|          | 10/2105 [00:36<1:54:47,  3.29s/it]
loss:  0.6925, accuracy: 0.5540:   1%|          | 11/2105 [00:36<1:54:22,  3.28s/it]
loss:  0.6907, accuracy: 0.5521:   1%|          | 11/2105 [00:40<1:54:22,  3.28s/it]
loss:  0.6907, accuracy: 0.5521:   1%|          | 12/2105 [00:40<1:54:03,  3.27s/it]
loss:  0.6910, accuracy: 0.5481:   1%|          | 12/2105 [00:43<1:54:03,  3.27s/it]
loss:  0.6910, accuracy: 0.5481:   1%|          | 13/2105 [00:43<1:53:56,  3.27s/it]
loss:  0.6884, accuracy: 0.5558:   1%|          | 13/2105 [00:46<1:53:56,  3.27s/it]
loss:  0.6884, accuracy: 0.5558:   1%|          | 14/2105 [00:46<1:53:52,  3.27s/it]
loss:  0.6917, accuracy: 0.5458:   1%|          | 14/2105 [00:49<1:53:52,  3.27s/it]
loss:  0.6917, accuracy: 0.5458:   1%|          | 15/2105 [00:49<1:53:36,  3.26s/it]
loss:  0.6916, accuracy: 0.5488:   1%|          | 15/2105 [00:53<1:53:36,  3.26s/it]
loss:  0.6916, accuracy: 0.5488:   1%|          | 16/2105 [00:53<1:53:48,  3.27s/it]
loss:  0.6889, accuracy: 0.5533:   1%|          | 16/2105 [00:56<1:53:48,  3.27s/it]
loss:  0.6889, accuracy: 0.5533:   1%|          | 17/2105 [00:56<1:53:32,  3.26s/it]
loss:  0.6886, accuracy: 0.5538:   1%|          | 17/2105 [00:59<1:53:32,  3.26s/it]
loss:  0.6886, accuracy: 0.5538:   1%|          | 18/2105 [00:59<1:53:26,  3.26s/it]
loss:  0.6864, accuracy: 0.5592:   1%|          | 18/2105 [01:02<1:53:26,  3.26s/it]
loss:  0.6864, accuracy: 0.5592:   1%|          | 19/2105 [01:02<1:53:04,  3.25s/it]
loss:  0.6876, accuracy: 0.5578:   1%|          | 19/2105 [01:06<1:53:04,  3.25s/it]
loss:  0.6876, accuracy: 0.5578:   1%|          | 20/2105 [01:06<1:53:07,  3.26s/it]
loss:  0.6893, accuracy: 0.5521:   1%|          | 20/2105 [01:09<1:53:07,  3.26s/it]
loss:  0.6893, accuracy: 0.5521:   1%|          | 21/2105 [01:09<1:52:53,  3.25s/it]
loss:  0.6886, accuracy: 0.5540:   1%|          | 21/2105 [01:12<1:52:53,  3.25s/it]
loss:  0.6886, accuracy: 0.5540:   1%|          | 22/2105 [01:12<1:52:47,  3.25s/it]
loss:  0.6870, accuracy: 0.5598:   1%|          | 22/2105 [01:15<1:52:47,  3.25s/it]
loss:  0.6870, accuracy: 0.5598:   1%|          | 23/2105 [01:15<1:52:34,  3.24s/it]
loss:  0.6867, accuracy: 0.5612:   1%|          | 23/2105 [01:19<1:52:34,  3.24s/it]
loss:  0.6867, accuracy: 0.5612:   1%|          | 24/2105 [01:19<1:52:20,  3.24s/it]
loss:  0.6882, accuracy: 0.5550:   1%|          | 24/2105 [01:22<1:52:20,  3.24s/it]
loss:  0.6882, accuracy: 0.5550:   1%|          | 25/2105 [01:22<1:52:13,  3.24s/it]
loss:  0.6888, accuracy: 0.5541:   1%|          | 25/2105 [01:25<1:52:13,  3.24s/it]
loss:  0.6888, accuracy: 0.5541:   1%|          | 26/2105 [01:25<1:52:10,  3.24s/it]
loss:  0.6871, accuracy: 0.5567:   1%|          | 26/2105 [01:28<1:52:10,  3.24s/it]
loss:  0.6871, accuracy: 0.5567:   1%|▏         | 27/2105 [01:28<1:51:59,  3.23s/it]
loss:  0.6863, accuracy: 0.5603:   1%|▏         | 27/2105 [01:31<1:51:59,  3.23s/it]
loss:  0.6863, accuracy: 0.5603:   1%|▏         | 28/2105 [01:31<1:51:52,  3.23s/it]
loss:  0.6849, accuracy: 0.5668:   1%|▏         | 28/2105 [01:35<1:51:52,  3.23s/it]
loss:  0.6849, accuracy: 0.5668:   1%|▏         | 29/2105 [01:35<1:51:57,  3.24s/it]
loss:  0.6858, accuracy: 0.5635:   1%|▏         | 29/2105 [01:38<1:51:57,  3.24s/it]
loss:  0.6858, accuracy: 0.5635:   1%|▏         | 30/2105 [01:38<1:52:05,  3.24s/it]
loss:  0.6865, accuracy: 0.5625:   1%|▏         | 30/2105 [01:41<1:52:05,  3.24s/it]
loss:  0.6865, accuracy: 0.5625:   1%|▏         | 31/2105 [01:41<1:52:03,  3.24s/it]
loss:  0.6862, accuracy: 0.5615:   1%|▏         | 31/2105 [01:44<1:52:03,  3.24s/it]
loss:  0.6862, accuracy: 0.5615:   2%|▏         | 32/2105 [01:44<1:51:52,  3.24s/it]
loss:  0.6854, accuracy: 0.5625:   2%|▏         | 32/2105 [01:48<1:51:52,  3.24s/it]
loss:  0.6854, accuracy: 0.5625:   2%|▏         | 33/2105 [01:48<1:51:45,  3.24s/it]
loss:  0.6855, accuracy: 0.5625:   2%|▏         | 33/2105 [01:51<1:51:45,  3.24s/it]
loss:  0.6855, accuracy: 0.5625:   2%|▏         | 34/2105 [01:51<1:51:33,  3.23s/it]
loss:  0.6849, accuracy: 0.5634:   2%|▏         | 34/2105 [01:54<1:51:33,  3.23s/it]
loss:  0.6849, accuracy: 0.5634:   2%|▏         | 35/2105 [01:54<1:51:25,  3.23s/it]
loss:  0.6846, accuracy: 0.5634:   2%|▏         | 35/2105 [01:57<1:51:25,  3.23s/it]
loss:  0.6846, accuracy: 0.5634:   2%|▏         | 36/2105 [01:57<1:51:22,  3.23s/it]
loss:  0.6837, accuracy: 0.5667:   2%|▏         | 36/2105 [02:01<1:51:22,  3.23s/it]
loss:  0.6837, accuracy: 0.5667:   2%|▏         | 37/2105 [02:01<1:51:17,  3.23s/it]
loss:  0.6847, accuracy: 0.5625:   2%|▏         | 37/2105 [02:04<1:51:17,  3.23s/it]
loss:  0.6847, accuracy: 0.5625:   2%|▏         | 38/2105 [02:04<1:51:13,  3.23s/it]
loss:  0.6832, accuracy: 0.5665:   2%|▏         | 38/2105 [02:07<1:51:13,  3.23s/it]
loss:  0.6832, accuracy: 0.5665:   2%|▏         | 39/2105 [02:07<1:51:06,  3.23s/it]
loss:  0.6822, accuracy: 0.5672:   2%|▏         | 39/2105 [02:10<1:51:06,  3.23s/it]
loss:  0.6822, accuracy: 0.5672:   2%|▏         | 40/2105 [02:10<1:51:04,  3.23s/it]
loss:  0.6816, accuracy: 0.5686:   2%|▏         | 40/2105 [02:14<1:51:04,  3.23s/it]
loss:  0.6816, accuracy: 0.5686:   2%|▏         | 41/2105 [02:14<1:50:59,  3.23s/it]
loss:  0.6800, accuracy: 0.5729:   2%|▏         | 41/2105 [02:17<1:50:59,  3.23s/it]
loss:  0.6800, accuracy: 0.5729:   2%|▏         | 42/2105 [02:17<1:50:55,  3.23s/it]
loss:  0.6792, accuracy: 0.5741:   2%|▏         | 42/2105 [02:20<1:50:55,  3.23s/it]
loss:  0.6792, accuracy: 0.5741:   2%|▏         | 43/2105 [02:20<1:50:53,  3.23s/it]
loss:  0.6790, accuracy: 0.5739:   2%|▏         | 43/2105 [02:23<1:50:53,  3.23s/it]
loss:  0.6790, accuracy: 0.5739:   2%|▏         | 44/2105 [02:23<1:51:05,  3.23s/it]
loss:  0.6774, accuracy: 0.5771:   2%|▏         | 44/2105 [02:26<1:51:05,  3.23s/it]
loss:  0.6774, accuracy: 0.5771:   2%|▏         | 45/2105 [02:26<1:50:56,  3.23s/it]
loss:  0.6766, accuracy: 0.5802:   2%|▏         | 45/2105 [02:30<1:50:56,  3.23s/it]
loss:  0.6766, accuracy: 0.5802:   2%|▏         | 46/2105 [02:30<1:50:47,  3.23s/it]
loss:  0.6749, accuracy: 0.5844:   2%|▏         | 46/2105 [02:33<1:50:47,  3.23s/it]
loss:  0.6749, accuracy: 0.5844:   2%|▏         | 47/2105 [02:33<1:50:42,  3.23s/it]
